Model,Pattern,Length,Occurrence count,Next result,Accuracy %,Stream,Pattern Structure
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0110111012
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0120103130
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0120233110
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0012212333
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0122020100
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0123321120
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0120031032
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0121033002
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0102332213
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0112200003
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0102020121
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0001011020
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0123021233
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0011021030
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0110210303
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0121203211
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0102210320
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0112002303
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0011222220
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0110121102
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0012002122
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0110000202
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0121300230
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0111212111
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0122011013
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0100102022
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0112112203
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0010012101
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0123210303
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0121221021
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0101102100
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0110210011
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0121320111
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0112133210
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0112120121
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0111122111
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0120102202
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0122132220
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0001230132
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0102021333
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0112022321
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0101010200
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0101001121
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0012133203
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0010200221
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0001212022
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0100233300
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0112032130
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0121300120
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0102330132
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0120001202
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0120200020
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0112200103
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0122013311
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0121000331
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0121023212
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0001020230
Model 2 (Structural),,10,3,BR,100.0,Combined_SB_RG,0111121123
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0010001120
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0101011212
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0120220201
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0001022112
Model 2 (Structural),,10,3,SG,100.0,Combined_SB_RG,0110102003
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0012031312
Model 2 (Structural),,10,3,SR,100.0,Combined_SB_RG,0100203232
Model 2 (Structural),,10,3,BG,100.0,Combined_SB_RG,0121221033
Model 3 (Cycle),BBBSBSSSBBS,11,14,B -> B -> B -> B -> B -> S,100.0,S/B,
Model 3 (Cycle),GGRGGGGGGGG,11,14,R -> G -> R -> G -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),BBBSBBBSSBS,11,13,B -> S -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),BSSSSBSSSBB,11,13,S -> S -> S -> B -> B -> S,100.0,S/B,
Model 3 (Cycle),SSBBSSBSBSB,11,13,B -> B -> S -> S -> S,100.0,S/B,
Model 3 (Cycle),SSBBBSSBBSB,11,13,B -> S -> B -> S -> B,100.0,S/B,
Model 3 (Cycle),GRGGGGRRGRG,11,13,R -> R -> R -> G -> R -> G,100.0,R/G,
Model 3 (Cycle),RRRRGGRRGRG,11,13,R -> R -> R -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),SSSBSSSBSBS,11,12,S -> S -> B -> S -> S -> S,100.0,S/B,
Model 3 (Cycle),BBSBBBSSBSB,11,12,B -> B -> S -> S -> B -> S,100.0,S/B,
Model 3 (Cycle),BSSBBBSBSBS,11,12,S -> B -> B -> B -> S -> S,100.0,S/B,
Model 3 (Cycle),BBBBSSSSBSS,11,12,S -> S -> S -> B -> B -> S,100.0,S/B,
Model 1,SSBBSBSSBBB,11,12,S,100.0,S/B,
Model 3 (Cycle),BSBSSBBBSSB,11,12,B -> S -> S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),RRGRRGRRRRR,11,12,G -> G -> R,100.0,R/G,
Model 3 (Cycle),RRRRGGGGGRR,11,12,R -> R -> R -> R -> G -> R,100.0,R/G,
Model 3 (Cycle),RRRGRGGRRRR,11,12,R -> G -> R -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),SSBSBSSSBBS,11,11,S -> B -> B -> B -> B,100.0,S/B,
Model 1,SBBBBBSBSBB,11,11,S,100.0,S/B,
Model 3 (Cycle),BBSSSSSSSBS,11,11,S -> B -> B -> S -> B,100.0,S/B,
Model 3 (Cycle),BSSBSBSBSSB,11,11,B -> S -> S,100.0,S/B,
Model 3 (Cycle),GRRGRRGRRRG,11,11,G -> R -> R,100.0,R/G,
Model 3 (Cycle),GGGGRRGGGGG,11,11,G -> G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),GGGRGGGGGGG,11,11,R -> G -> G -> R -> G,100.0,R/G,
Model 3 (Cycle),BBSSBBBBBSS,11,10,B -> S,100.0,S/B,
Model 3 (Cycle),SSSBBSSBSSB,11,10,B -> S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),SSBBSSBSSBB,11,10,B -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),BSBBBBSSBSB,11,10,B -> B -> B -> S -> B,100.0,S/B,
Model 3 (Cycle),SBSSSBSSSSS,11,10,S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),SBBSBBBSBBB,11,10,S -> B -> S -> B -> S,100.0,S/B,
Model 3 (Cycle),BSSSSSBBSSS,11,10,S -> B -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),BSSBSBBSSSS,11,10,B -> B -> S,100.0,S/B,
Model 3 (Cycle),SSBSBBSSSBB,11,10,S -> S -> B -> B -> S,100.0,S/B,
Model 3 (Cycle),BSSBBSBSBBS,11,10,B -> S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),GGGRGRRGRRR,11,10,R -> G -> G -> G -> G,100.0,R/G,
Model 3 (Cycle),GRRGRGGRRGG,11,10,G -> R,100.0,R/G,
Model 3 (Cycle),GGGGRGGRRRG,11,10,R -> R -> R -> G -> R,100.0,R/G,
Model 3 (Cycle),RGGRGGGGGGR,11,10,R -> G -> G,100.0,R/G,
Model 3 (Cycle),GRGGGGRGRGR,11,10,G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),GGRGGGRGRRG,11,10,G -> R -> R -> R -> R,100.0,R/G,
Model 3 (Cycle),GRGRGGRRGGG,11,10,R -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),BSBSSSSSSBB,11,9,B -> B -> S -> S,100.0,S/B,
Model 3 (Cycle),SBSSBSBSSSB,11,9,S -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),SBBBSBSSBSS,11,9,S -> S -> B,100.0,S/B,
Model 1,BBSBSSSBBBS,11,9,S,100.0,S/B,
Model 3 (Cycle),BBBSBSSBBSS,11,9,B -> S -> S,100.0,S/B,
Model 3 (Cycle),SSSBBSSSBBS,11,9,B -> B -> S -> S,100.0,S/B,
Model 3 (Cycle),SSSBBSBBBBS,11,9,B -> B -> S,100.0,S/B,
Model 3 (Cycle),BBSBSBBSSBS,11,9,B -> S -> S -> S,100.0,S/B,
Model 3 (Cycle),RRGRRGRGRRR,11,9,G -> G -> R,100.0,R/G,
Model 3 (Cycle),RGRGRGGGGGR,11,9,R -> G -> R -> R,100.0,R/G,
Model 3 (Cycle),GGGGGGRRGRG,11,9,R -> R -> G -> R,100.0,R/G,
Model 3 (Cycle),GGGGGGGRGGR,11,9,G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),RRRRRGRGRGG,11,9,R -> G -> G -> G,100.0,R/G,
Model 3 (Cycle),RGRGRRGGRGR,11,9,R -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),GGGGGRGRRRG,11,9,G -> G -> R -> G,100.0,R/G,
Model 3 (Cycle),GGRRGGRRGGR,11,9,R -> G -> R -> R,100.0,R/G,
Model 3 (Cycle),RGGRGGGGRRG,11,9,G -> R -> R,100.0,R/G,
Model 3 (Cycle),GRGGGGRGGRG,11,9,G -> G -> R,100.0,R/G,
Model 3 (Cycle),RGGRGGRGGGR,11,9,R -> R -> G,100.0,R/G,
Model 3 (Cycle),GRGRGRGGGGG,11,9,G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),BSBSBBBSBBB,11,8,S -> B -> B,100.0,S/B,
Model 3 (Cycle),SSSSBBBSBSB,11,8,S -> S -> B,100.0,S/B,
Model 3 (Cycle),BBSSBSBSSSB,11,8,S -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),SBBBBSBBSSS,11,8,S -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),SBSBSBBSSBB,11,8,B -> B -> S,100.0,S/B,
Model 1,SSSSBBSBBBB,11,8,B,100.0,S/B,
Model 1,SBBSBBBBBSB,11,8,S,100.0,S/B,
Model 3 (Cycle),BBSBSSSBSSS,11,8,S -> B -> B,100.0,S/B,
Model 1,SBSSSBBSBBS,11,8,S,100.0,S/B,
Model 3 (Cycle),BBSSSBBSBSB,11,8,S -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),BBSBBSBBSBB,11,8,S -> S -> B -> B,100.0,S/B,
Model 3 (Cycle),SBSBBBBSSBS,11,8,B -> B -> S,100.0,S/B,
Model 1,BBBBBBBBSSB,11,8,B,100.0,S/B,
Model 3 (Cycle),BSSBBBBBSSS,11,8,S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),SBBBBSSBSBS,11,8,S -> S -> B -> S,100.0,S/B,
Model 3 (Cycle),SSSBBBSBSSB,11,8,B -> S -> S,100.0,S/B,
Model 3 (Cycle),SBBSSSBSSBB,11,8,S -> B -> B,100.0,S/B,
Model 3 (Cycle),BBSSBSSSSSB,11,8,B -> S -> S -> S,100.0,S/B,
Model 3 (Cycle),SSSBBSSBBBB,11,8,S -> B -> B -> B,100.0,S/B,
Model 3 (Cycle),SSBBSBBSBSS,11,8,B -> S -> S -> S,100.0,S/B,
Model 3 (Cycle),BSSSSBBBSSB,11,8,S -> B -> B -> S,100.0,S/B,
Model 3 (Cycle),SBSBSBSBBSB,11,8,S -> B -> B -> S,100.0,S/B,
Model 3 (Cycle),SBBBSSBBSBS,11,8,S -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),BSBSSSSBBSS,11,8,B -> S -> S -> B,100.0,S/B,
Model 3 (Cycle),SBBSSBBBSBB,11,8,S -> B -> B,100.0,S/B,
Model 3 (Cycle),BSSSSBSSBBB,11,8,B -> B -> S,100.0,S/B,
Model 3 (Cycle),BBBSBSSSSSS,11,8,S -> B -> S -> S,100.0,S/B,
Model 3 (Cycle),SBBSBBSSBSS,11,8,B -> B -> S -> B,100.0,S/B,
Model 3 (Cycle),GRRRRRGRRRR,11,8,R -> G -> G,100.0,R/G,
Model 3 (Cycle),RGGGRGRGRGG,11,8,R -> G -> R -> R,100.0,R/G,
Model 1,GRRGGRRRGRG,11,8,G,100.0,R/G,
Model 3 (Cycle),RRGRRRRRRRG,11,8,G -> R -> R -> G,100.0,R/G,
Model 3 (Cycle),GRRRRRRRRRR,11,8,G -> R -> R,100.0,R/G,
Model 3 (Cycle),RRGRGRGGGRG,11,8,R -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),GGRRRGRGRGG,11,8,R -> R -> G -> R,100.0,R/G,
Model 3 (Cycle),GGRRRRGGGGG,11,8,G -> R,100.0,R/G,
Model 3 (Cycle),RRGGRRRRGRR,11,8,R -> R -> R -> G,100.0,R/G,
Model 3 (Cycle),GRGRGRRRRGG,11,8,R -> R -> R -> G,100.0,R/G,
Model 3 (Cycle),RGGRRRRGRRG,11,8,R -> R -> G,100.0,R/G,
Model 3 (Cycle),GRGRGRRGRRG,11,8,R -> G -> G,100.0,R/G,
Model 3 (Cycle),RGGGGGGGRRR,11,8,G -> G -> R -> G,100.0,R/G,
Model 3 (Cycle),GGRRRGGRGRG,11,8,G -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),RRGGRRGRGRG,11,8,R -> G -> G -> R,100.0,R/G,
Model 3 (Cycle),GRGRGGGGRRR,11,8,G -> R -> R,100.0,R/G,
Model 3 (Cycle),GGRRRGGGGRG,11,8,R -> G,100.0,R/G,
Model 1,RRRRGGGRGRG,11,8,G,100.0,R/G,
Model 3 (Cycle),GRRGRGGRRGR,11,8,R -> G -> R -> R,100.0,R/G,
Model 3 (Cycle),RRRRRRGGGGR,11,8,R -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),GGRRRGGGRGR,11,8,G -> R -> G -> G,100.0,R/G,
Model 3 (Cycle),GGGRRGGGRRG,11,8,G -> R -> R -> R,100.0,R/G,
Model 3 (Cycle),SSSBSBSBBBS,11,7,S -> B -> B,100.0,S/B,
Model 3 (Cycle),BBBBSSSBSSS,11,7,S -> S -> B,100.0,S/B,
Model 3 (Cycle),SSBBBSSBSSS,11,7,S -> S -> B,100.0,S/B,
Model 3 (Cycle),BBBBBSSSBBB,11,7,S -> S -> B,100.0,S/B,
Model 3 (Cycle),SBBBBSBSBBB,11,7,S -> S -> B,100.0,S/B,
Model 1,SSBSBSBBBBS,11,7,S,100.0,S/B,
Model 3 (Cycle),BSSSSBBSBSB,11,7,B -> B -> S,100.0,S/B,
Model 3 (Cycle),SSSSSSSSSSB,11,7,S -> S -> B,100.0,S/B,
Model 1,SSBBBBBSBSS,11,7,B,100.0,S/B,
Model 3 (Cycle),BBSBBBSSSBS,11,7,B -> S -> B,100.0,S/B,
Model 3 (Cycle),BSSBBBBBSBS,11,7,B -> S -> B,100.0,S/B,
Model 3 (Cycle),SSBBBBBBSBS,11,7,B -> S -> S,100.0,S/B,
Model 3 (Cycle),BSBSBSBBSBB,11,7,S -> B -> S,100.0,S/B,
Model 3 (Cycle),SSSBSSBSSBS,11,7,S -> S -> B,100.0,S/B,
Model 3 (Cycle),BSSSSBBBBSS,11,7,S -> B,100.0,S/B,
Model 3 (Cycle),SSBSSBBSSSB,11,7,B -> B -> S,100.0,S/B,
Model 3 (Cycle),SSBBSBBSBBB,11,7,B -> S -> S,100.0,S/B,
Model 1,BBBSSSBSBSB,11,7,S,100.0,S/B,
Model 1,BSSSSBSSBBS,11,7,S,100.0,S/B,
Model 3 (Cycle),BBSSBBBSBBB,11,7,S -> S -> B,100.0,S/B,
Model 3 (Cycle),BSBSSBSSSSS,11,7,B -> S -> S,100.0,S/B,
Model 3 (Cycle),BSSBBSSBSSB,11,7,S -> B -> S,100.0,S/B,
Model 3 (Cycle),GGGRRRGRGRR,11,7,G -> R -> G,100.0,R/G,
Model 3 (Cycle),RRGGGRGGGRR,11,7,R -> R -> G,100.0,R/G,
Model 3 (Cycle),GGGRRRGGGGG,11,7,G -> R,100.0,R/G,
Model 1,GRRGRRGRGGG,11,7,R,100.0,R/G,
Model 3 (Cycle),GGGRRGGRGGG,11,7,R -> G,100.0,R/G,
Model 3 (Cycle),RRRGGRRRGGG,11,7,R -> G -> G,100.0,R/G,
Model 3 (Cycle),RRGGGGRRRRG,11,7,G -> G -> R,100.0,R/G,
Model 3 (Cycle),GRRRGRGRRRG,11,7,G -> R -> G,100.0,R/G,
Model 3 (Cycle),RGRRGGGRGRG,11,7,G -> R -> R,100.0,R/G,
Model 3 (Cycle),RGGGGRRRRGR,11,7,R -> R -> G,100.0,R/G,
Model 1,GRRRRRRGRRG,11,7,G,100.0,R/G,
Model 3 (Cycle),GGGRGGGGRGG,11,7,R -> R -> G,100.0,R/G,
Model 3 (Cycle),GRRRRGRGGGR,11,7,R -> G,100.0,R/G,
Model 3 (Cycle),RRRGGRRGRRG,11,7,R -> R -> G,100.0,R/G,
Model 1,RGGGGRRRRRG,11,7,R,100.0,R/G,
Model 3 (Cycle),RRRRRGGGGRG,11,7,R -> R -> G,100.0,R/G,
Model 3 (Cycle),BBSBBBSSSSB,11,6,B -> B -> S,100.0,S/B,
Model 3 (Cycle),SBSSSBSBSSS,11,6,B -> S -> B,100.0,S/B,
Model 3 (Cycle),SBSBSSSBSSB,11,6,S -> B,100.0,S/B,
Model 1,SSSSBSBSSBS,11,6,B,100.0,S/B,
Model 3 (Cycle),BSBSBBBBSBS,11,6,B -> S -> S,100.0,S/B,
Model 3 (Cycle),SSSBSBSBSSB,11,6,B -> S -> S,100.0,S/B,
Model 3 (Cycle),SBBSSBBBSBS,11,6,B -> S -> B,100.0,S/B,
Model 3 (Cycle),SBSBBBBSSBB,11,6,B -> S,100.0,S/B,
Model 3 (Cycle),SBSSSSBSSSS,11,6,S -> B -> S,100.0,S/B,
Model 3 (Cycle),BSSSSSSBBBB,11,6,B -> S -> S,100.0,S/B,
Model 1,SBBSSBBBBBS,11,6,S,100.0,S/B,
Model 3 (Cycle),SSBSSSBBSSB,11,6,S -> S -> B,100.0,S/B,
Model 3 (Cycle),SSSSBBSBBBS,11,6,S -> B,100.0,S/B,
Model 3 (Cycle),BSSBSBSSSSS,11,6,B -> S,100.0,S/B,
Model 3 (Cycle),BBBBBSBBBBS,11,6,B -> S -> B,100.0,S/B,
Model 3 (Cycle),SSSSBBSSSSS,11,6,B -> S -> S,100.0,S/B,
Model 3 (Cycle),SSBSSBSSSSB,11,6,B -> S,100.0,S/B,
Model 1,SSSSBSBSBBS,11,6,B,100.0,S/B,
Model 3 (Cycle),SBSSBSBSBSB,11,6,B -> B -> S,100.0,S/B,
Model 3 (Cycle),BSSBSSSSBSS,11,6,B -> S,100.0,S/B,
Model 3 (Cycle),BSBSSBSSSBS,11,6,S -> B -> S,100.0,S/B,
Model 3 (Cycle),SBSSSBSSBSS,11,6,B -> B -> S,100.0,S/B,
Model 3 (Cycle),BSBBBBSSBBS,11,6,S -> B -> S,100.0,S/B,
Model 1,BBSSSSSBSBS,11,6,S,100.0,S/B,
Model 3 (Cycle),BSSSBSBSSBB,11,6,S -> S -> B,100.0,S/B,
Model 3 (Cycle),SBSSBBSBBSB,11,6,S -> S -> B,100.0,S/B,
Model 3 (Cycle),BBSSBBBSSBS,11,6,B -> S -> B,100.0,S/B,
Model 3 (Cycle),BSSSSSSSSBB,11,6,B -> B -> S,100.0,S/B,
Model 1,BSBSBSBBBBB,11,6,B,100.0,S/B,
Model 1,BSSBBSBBSSB,11,6,B,100.0,S/B,
Model 3 (Cycle),BSSBBBBSBSS,11,6,B -> S -> B,100.0,S/B,
Model 3 (Cycle),BSSBSBSBSSS,11,6,B -> S -> S,100.0,S/B,
Model 3 (Cycle),BSBSBSSSBSS,11,6,S -> B,100.0,S/B,
Model 3 (Cycle),BSSBBBSBBBB,11,6,S -> B,100.0,S/B,
Model 3 (Cycle),GGGGGGGGRRG,11,6,R -> G -> R,100.0,R/G,
Model 3 (Cycle),GRGGRGGGGRG,11,6,R -> G -> G,100.0,R/G,
Model 1,GRGGRRGRRRR,11,6,G,100.0,R/G,
Model 3 (Cycle),RRRRRGGGRRR,11,6,R -> R -> G,100.0,R/G,
Model 3 (Cycle),RGGRGRGRGRG,11,6,G -> G -> R,100.0,R/G,
Model 3 (Cycle),RGGGRGRRRRR,11,6,G -> R -> G,100.0,R/G,
Model 3 (Cycle),GGRGRRGGRRG,11,6,G -> R -> G,100.0,R/G,
Model 3 (Cycle),RGGGRRGGGGG,11,6,G -> G -> R,100.0,R/G,
Model 1,GGGGRRGGRGR,11,6,R,100.0,R/G,
Model 3 (Cycle),GRGRRGGRRRG,11,6,R -> R -> G,100.0,R/G,
Model 3 (Cycle),RGRGRGGGRGG,11,6,R -> G -> G,100.0,R/G,
Model 3 (Cycle),RRGGGRRGRRR,11,6,G -> R,100.0,R/G,
Model 3 (Cycle),RGRGRRRRGGG,11,6,G -> R -> R,100.0,R/G,
Model 1,RRGRRGGRGRR,11,6,G,100.0,R/G,
Model 1,SSBBSSBSSSS,11,5,B,100.0,S/B,
Model 1,BSSBSSSSBBB,11,5,S,100.0,S/B,
Model 3 (Cycle),SBBBBSBSBSS,11,5,S -> B,100.0,S/B,
Model 1,BSBBSSSSSSS,11,5,B,100.0,S/B,
Model 1,SSSSBSSBBSB,11,5,B,100.0,S/B,
Model 3 (Cycle),BSSBBSSSBBB,11,5,B -> S,100.0,S/B,
Model 1,BBBSSBSSBBB,11,5,B,100.0,S/B,
Model 3 (Cycle),SBSBBSSBBSB,11,5,B -> S,100.0,S/B,
Model 3 (Cycle),SSBSBBBSSBB,11,5,S -> B,100.0,S/B,
Model 3 (Cycle),SSBBSSBBBSS,11,5,S -> B,100.0,S/B,
Model 1,SBSSBBBSSSB,11,5,S,100.0,S/B,
Model 3 (Cycle),BBBBBBSSBSB,11,5,S -> B,100.0,S/B,
Model 3 (Cycle),SBBBSSBBBBS,11,5,B -> S,100.0,S/B,
Model 3 (Cycle),BSBSBSSBBSS,11,5,S -> B,100.0,S/B,
Model 3 (Cycle),SBSSSSBBBBS,11,5,B -> S,100.0,S/B,
Model 1,RGGGGRGRRRG,11,5,G,100.0,R/G,
Model 1,RRGRRRGGGRG,11,5,R,100.0,R/G,
Model 3 (Cycle),GGGRRRRRRGG,11,5,R -> G,100.0,R/G,
Model 1,RGGGGRRRGGR,11,5,R,100.0,R/G,
Model 1,RRRRGRGRGGR,11,5,G,100.0,R/G,
Model 1,GGGGGRRGRGG,11,5,G,100.0,R/G,
Model 3 (Cycle),RRGRGRRGRRG,11,5,R -> G,100.0,R/G,
Model 1,RRRRGGRGRGR,11,5,R,100.0,R/G,
Model 1,RGGRGGRRRGG,11,5,R,100.0,R/G,
Model 3 (Cycle),RGGGGGGRRRG,11,5,G -> R,100.0,R/G,
Model 1,RRRRGRRRGGG,11,5,G,100.0,R/G,
Model 3 (Cycle),RRRRGRGGGRG,11,5,R -> G,100.0,R/G,
Model 1,RRGRRRGGGRR,11,5,R,100.0,R/G,
Model 3 (Cycle),GGGRRGRGGRG,11,5,G -> R,100.0,R/G,
Model 1,GGRRGRRGGRG,11,5,R,100.0,R/G,
Model 2 (Structural),,11,4,4,100.0,Numbers,01234567852
Model 1,BSSBBSSSBSS,11,4,B,100.0,S/B,
Model 1,BBSSBSSBBBS,11,4,B,100.0,S/B,
Model 1,SBBBBSSBSSB,11,4,S,100.0,S/B,
Model 1,SBSBSSSBBBS,11,4,B,100.0,S/B,
Model 1,SBBSBBSSBSB,11,4,B,100.0,S/B,
Model 1,SSSBSSSSBSB,11,4,S,100.0,S/B,
Model 3 (Cycle),BSBBBBBBBBS,11,4,S -> B,100.0,S/B,
Model 3 (Cycle),BBBSBBBSBSB,11,4,B -> S,100.0,S/B,
Model 1,BSSSBSBSBBS,11,4,B,100.0,S/B,
Model 3 (Cycle),SSBSBBBBSSB,11,4,B -> S,100.0,S/B,
Model 1,SSBBSBBSSBS,11,4,S,100.0,S/B,
Model 1,RGGRRGGRGRG,11,4,G,100.0,R/G,
Model 1,GRRRGGGRRGR,11,4,G,100.0,R/G,
Model 1,GGRGRRRGRRG,11,4,R,100.0,R/G,
Model 3 (Cycle),GGGRGGRRGRR,11,4,G -> R,100.0,R/G,
Model 1,RRGGRGGRGRG,11,4,G,100.0,R/G,
Model 1,RRRRGGRGGRR,11,4,R,100.0,R/G,
Model 3 (Cycle),RGGGGRRRGRR,11,4,G -> R,100.0,R/G,
Model 1,RGGRRRGGGGR,11,4,R,100.0,R/G,
Model 1,RRGRRGRGGRG,11,4,G,100.0,R/G,
Model 1,GGGRGRRRGRR,11,4,R,100.0,R/G,
Model 3 (Cycle),RRRGRRRGGGR,11,4,G -> R,100.0,R/G,
Model 1,GGGRGRGRRRR,11,4,G,100.0,R/G,
Model 3 (Cycle),RGRGRGRGRGG,11,4,G -> R,100.0,R/G,
Model 1,GGRRGGRGGRG,11,4,G,100.0,R/G,
Model 1,RGRRRGGRRRR,11,4,G,100.0,R/G,
Model 2 (Structural),,11,3,2,100.0,Numbers,01123401523
Model 2 (Structural),,11,3,1,100.0,Numbers,01120324256
Model 2 (Structural),,11,3,5,100.0,Numbers,01233445617
Model 2 (Structural),,11,3,3,100.0,Numbers,01234135676
Model 2 (Structural),,11,3,8,100.0,Numbers,01234556763
Model 2 (Structural),,11,3,5,100.0,Numbers,01234567896
Model 2 (Structural),,11,3,0,100.0,Numbers,01234515316
Model 2 (Structural),,11,3,5,100.0,Numbers,01231456513
Model 2 (Structural),,11,3,6,100.0,Numbers,01234561077
Model 2 (Structural),,11,3,1,100.0,Numbers,01234053607
Model 2 (Structural),,11,3,7,100.0,Numbers,01233455361
Model 2 (Structural),,11,3,8,100.0,Numbers,01233454672
Model 2 (Structural),,11,3,5,100.0,Numbers,01234521677
Model 2 (Structural),,11,3,0,100.0,Numbers,01201304345
Model 1,BSSSBSSSSBS,11,3,S,100.0,S/B,
Model 1,SBSSSSBSBBB,11,3,B,100.0,S/B,
Model 1,BSBSBSSBSSS,11,3,B,100.0,S/B,
Model 1,SBBSSBBSBSS,11,3,S,100.0,S/B,
Model 1,SSSSSBBSBSB,11,3,B,100.0,S/B,
Model 1,BSSSSBSSSSB,11,3,S,100.0,S/B,
Model 1,BBBBSSBBBBS,11,3,B,100.0,S/B,
Model 1,SBBBBBSBSSS,11,3,S,100.0,S/B,
Model 1,BSSBSBSBSBS,11,3,B,100.0,S/B,
Model 1,SSBBSSSBSSS,11,3,B,100.0,S/B,
Model 1,RRRGGGGGRRG,11,3,R,100.0,R/G,
Model 1,RGRRGRGGRGR,11,3,R,100.0,R/G,
